;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CATEGORY;2025 Demand;2026 Demand;2027 Demand;;;;
Product Line;Equipment;Type;2025 - Demand (Volumes);;;;;;;;;;;;2026 - Demand (Volumes);;;;;;;;;;;;2027 - Demand (Volumes);;;;;;;;;;;;;;;;;;;;;;;;;;;;;O&R RISER FIRM;83;64;38;;;;
;;;January-25;February-25;March-25;April-25;May-25;June-25;July-25;August-25;September-25;October-25;November-25;December-25;January-26;February-26;March-26;April-26;May-26;June-26;July-26;August-26;September-26;October-26;November-26;December-26;January-27;February-27;March-27;April-27;May-27;June-27;July-27;August-27;September-27;October-27;November-27;December-27;;;;;;;;;;;;;;;;;;O&R RISER RISK RELEASE;0;0;0;;;;
;;Forecast;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Overtime;38604;41135;20638;39927;42728;42436;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;;;;;;;;;;
;Travelling Block;Firm;106;106;106;106;106;106;106;150;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Firm + Risk Release + Forecast ;38604;41135;20638;39927;42728;42436;21874;28577;32072;10811;9699;9092;13062;;;;;;;;;;
;;Risk Release;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
;;Forecast;0;0;0;0;0;0;0;0;0;0;0;0;0;0;235;235;469;235;235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
;Rocker Arm;Firm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
;;Risk Release;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
;;Forecast;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
;Crown Block (Sheave Cluster);Firm;0;235;235;235;0;235;235;100;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
;;Risk Release;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
;;Forecast;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;235;235;235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
;Drawworks Callipers (MB);Firm;0;0;132;0;0;240;160;0;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
;;Risk Release;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
;;Forecast;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;0;0;440;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
;Drawworks Callipers (BKB);Firm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
;;Risk Release;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
