"Projeto","Cliente","Service Order","Workshop","Descrição da Atividade","Rastreabilidade","Qnt. Planejada","Qnt. Executada","Recursos Planejados","Recursos Utilizados","Setor","Semana","Ano","Dia","Status","Categoria Não Executado","Justificativa"
"CSA - Amaralina Star","Constellation","470004734","Riser","FT-H - Touch Up","13J - LGS-080 / AMS-046 / AMS-080 / LGS-054 / LGS-011 / LGS-076 / LGS-068 / LGS-035 / LGS-062 / LGS-060 / LGS-077 / AMS-112 / AMS-075","2","1","4","2","Pintura","W07","2026","03. Quarta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","FT-H - Touch Up","13J - LGS-080 / AMS-046 / AMS-080 / LGS-054 / LGS-011 / LGS-076 / LGS-068 / LGS-035 / LGS-062 / LGS-060 / LGS-077 / AMS-112 / AMS-075","2","1","4","2","Pintura","W07","2026","04. Quinta","Parcial",,
"CSA - Amaralina Star","Constellation","470004734","Riser","FT-H - Touch Up","13J - LGS-080 / AMS-046 / AMS-080 / LGS-054 / LGS-011 / LGS-076 / LGS-068 / LGS-035 / LGS-062 / LGS-060 / LGS-077 / AMS-112 / AMS-075","2","1","4","2","Pintura","W07","2026","05. Sexta","Parcial",,
"CSA - Amaralina Star","Constellation","470004734","Riser","FT-H - Touch Up","13J - LGS-080 / AMS-046 / AMS-080 / LGS-054 / LGS-011 / LGS-076 / LGS-068 / LGS-035 / LGS-062 / LGS-060 / LGS-077 / AMS-112 / AMS-075","2","2","4","3","Pintura","W07","2026","06. Sábado","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","FT-H - Touch Up","13J - LGS-080 / AMS-046 / AMS-080 / LGS-054 / LGS-011 / LGS-076 / LGS-068 / LGS-035 / LGS-062 / LGS-060 / LGS-077 / AMS-112 / AMS-075","1",,"4",,"Pintura","W07","2026","07. Domingo","Não Executado","Planejamento Incorreto","Turno Cancelado"
"CSA - Amaralina Star","Constellation","470004734","Riser","Inspeção LP após polimento","AMS-026 (BO) + LGS-011 (Choke, Kill, LH2 e BO) + LGS-054 (Kill e BO)","6","27","1","1","Inspeção","W07","2026","02. Terça","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Inspeção LP após polimento","LGS-058 (Choke, Kill, LH2 e BO) + LGS-060 (Choke, Kill e BO) + LGS-061 (Choke, Kill e LH1)","10","10","1","1","Inspeção","W07","2026","03. Quarta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Inspeção LP após polimento","LGS-070 (Kill (pino), Kill (caixa) e BO) + LGS-076 (Kill (pino), LH1 (pino), LH1 (Caixa), LH2 (pino) e LH2 (Caixa) + LGS-077 (Flange (caixa), Choke (pino), Kill (pino) e BO (pino)","12","12","1","1","Inspeção","W07","2026","04. Quinta","Concluído",,
"Centro de Custo","Constellation","Centro de Custo","Riser","Dispositivos de testes fabricados - 17 peças - Fosfato","BO, Choke e LH","17",,"3",,"Pintura","W07","2026","04. Quinta","Não Executado","Atividade Predecessora","Não chegou para pintura"
"CSA - Amaralina Star","Constellation","470004734","Riser","Caixas fabricadas CK - Fosfato","xx","7",,"3",,"Pintura","W07","2026","04. Quinta","Não Executado","Atividade Predecessora","Não chegou para pintura"
"CSA - Amaralina Star","Constellation","470004734","Riser","Caixa de Choke&Kill FT-H - Solda Cladding","AMS-CK-B-70 & 166","3","2","2","2","Cladding","W07","2026","04. Quinta","Parcial",,
